Test Case ID,Name,Folder,Priority,Precondition,Step-by-Step Steps,Expected Result
"CT-COMPRA-011","[CT-COMPRA-011] Busca de compras por fornecedor","Compras","Medium","Pelo menos 2 compras cadastradas de fornecedores diferentes","1. Na tela de Compras, localizar a **barra de busca**
2. Digitar o nome de um fornecedor existente","- Lista filtrada exibe apenas compras do fornecedor buscado
- Compras de outros fornecedores ficam ocultas"
"CT-ESTOQUE-001","[CT-ESTOQUE-001] Cadastrar novo produto (happy path)","Estoque","High","Nenhuma","1. Acessar o módulo **Estoque**
2. Clicar em **Novo Produto**
3. Preencher todos os campos com os dados acima
4. Clicar em **Salvar**","- Produto cadastrado com sucesso
- Produto aparece na lista do estoque com os dados corretos"
"CT-ESTOQUE-002","[CT-ESTOQUE-002] Tentativa de cadastrar produto com nome duplicado","Estoque","High","Produto ""Capacitor 100uF 25V"" já cadastrado","1. Tentar cadastrar um segundo produto com o mesmo nome: `Capacitor 100uF 25V`","- Sistema bloqueia o cadastro
- Mensagem de erro: *""Já existe um produto cadastrado com o nome semelhante/idêntico""*"
"CT-ESTOQUE-003","[CT-ESTOQUE-003] Produto sem nome não pode ser salvo","Estoque","High","Nenhuma","1. Abrir formulário de novo produto
2. Deixar o campo **Nome** em branco
3. Preencher os demais campos
4. Clicar em **Salvar**","- Produto **não é salvo**
- Mensagem de validação exibida para o campo Nome"
"CT-CLIENTE-001","[CT-CLIENTE-001] Cadastrar novo cliente (happy path)","Clientes","Medium","Nenhuma","1. Acessar o módulo **Clientes**
2. Clicar em **Novo Cliente**
3. Preencher os dados acima
4. Clicar em **Salvar**","- Cliente cadastrado e exibido na lista"
"CT-CLIENTE-002","[CT-CLIENTE-002] Buscar cliente pelo nome","Clientes","Medium","Clientes cadastrados","1. Na tela de Clientes, digitar `João` na barra de busca","- Lista filtrada mostra apenas clientes com ""João"" no nome
- Busca insensível a maiúsculas/minúsculas"
"CT-OS-001","[CT-OS-001] Criar nova Ordem de Serviço (happy path)","Ordens de Serviço","High","Cliente e técnico cadastrados","1. Acessar **Ordens de Serviço**
2. Clicar em **Nova OS**
3. Preencher os campos com os dados acima
4. Clicar em **Salvar**","- OS criada com número gerado automaticamente
- OS aparece na lista com status ""Aberta"""
"CT-OS-002","[CT-OS-002] Alterar status de OS de ""Aberta"" para ""Concluída""","Ordens de Serviço","High","OS com status ""Aberta"" cadastrada","1. Localizar uma OS com status ""Aberta""
2. Clicar em **Editar**
3. Alterar o status para `Concluída`
4. Clicar em **Salvar**","- OS atualizada com status ""Concluída""
- Badge de status muda visualmente na lista"
"CT-UI-001","[CT-UI-001] Responsividade em tela mobile","Interface e Usabilidade","Medium","Nenhuma","1. Abrir o DevTools do Chrome (`F12`)
2. Ativar o modo responsivo (ícone de celular)
3. Selecionar o dispositivo `iPhone SE` (375×667)
4. Navegar por todos os módulos","- Menus se adaptam para versão mobile
- Tabelas usam layout de cards em telas pequenas
- Nenhum elemento ultrapassa os limites da tela"
"CT-UI-002","[CT-UI-002] Alternância entre tema claro e escuro","Interface e Usabilidade","Low","Nenhuma","1. Localizar o botão de alternância de tema
2. Clicar para ativar o **tema escuro**
3. Navegar por pelo menos 3 módulos diferentes
4. Retornar ao **tema claro**","- Tema muda sem necessidade de recarregar a página
- Todos os textos permanecem legíveis nos dois temas
- Preferência é mantida ao navegar entre módulos"
