Issue Type,Summary,Description,Priority,Component,Labels
"Test","[CT-COMPRA-006] Tentativa de salvar compra sem quantidade","h3. Informações do Teste
* *ID:* CT-COMPRA-006
* *Módulo:* Compras
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Abrir formulário de nova compra
2. Preencher todos os campos, exceto **Quantidade**
3. Clicar em **Salvar Compra**

h3. Resultado Esperado:
- Compra **não é salva**
- Mensagem de validação exibida: *""Quantidade é obrigatória""*","High","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-007] Cálculo automático do Valor Total","h3. Informações do Teste
* *ID:* CT-COMPRA-007
* *Módulo:* Compras
* *Pré-condição:* Formulário de compra aberto

h3. Passos para Reprodução:
1. Preencher **Quantidade** com `10`
2. Preencher **Valor de Compra** com `25`
3. Observar o campo **Valor Total**

h3. Resultado Esperado:
- Valor Total exibe automaticamente `R$ 250,00`
- Cálculo é feito em tempo real (sem necessidade de clicar em nada)","Medium","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-008] Editar compra existente","h3. Informações do Teste
* *ID:* CT-COMPRA-008
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 1 compra cadastrada

h3. Passos para Reprodução:
1. Na lista de compras, localizar uma compra existente
2. Clicar no ícone de **Editar** (lápis)
3. Alterar o campo **Fornecedor**
4. Clicar em **Atualizar Compra**

h3. Resultado Esperado:
- Compra atualizada com o novo fornecedor
- Registro na lista reflete a alteração","Medium","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-009] Excluir compra","h3. Informações do Teste
* *ID:* CT-COMPRA-009
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 1 compra cadastrada

h3. Passos para Reprodução:
1. Na lista de compras, clicar no ícone de **Excluir** (lixeira)
2. Modal de confirmação é exibido
3. Clicar em **Excluir Compra**

h3. Resultado Esperado:
- Modal fecha
- Compra removida da lista
- Nenhuma mensagem de erro","Medium","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-010] Cancelar exclusão de compra","h3. Informações do Teste
* *ID:* CT-COMPRA-010
* *Módulo:* Compras
* *Pré-condição:* Modal de confirmação de exclusão aberto

h3. Passos para Reprodução:
1. Abrir o modal de exclusão de uma compra
2. Clicar em **Cancelar**

h3. Resultado Esperado:
- Modal fecha
- Compra **permanece** na lista","Low","Compras","QA,Regressivo,Manual"
"Test","[CT-COMPRA-011] Busca de compras por fornecedor","h3. Informações do Teste
* *ID:* CT-COMPRA-011
* *Módulo:* Compras
* *Pré-condição:* Pelo menos 2 compras cadastradas de fornecedores diferentes

h3. Passos para Reprodução:
1. Na tela de Compras, localizar a **barra de busca**
2. Digitar o nome de um fornecedor existente

h3. Resultado Esperado:
- Lista filtrada exibe apenas compras do fornecedor buscado
- Compras de outros fornecedores ficam ocultas","Medium","Compras","QA,Regressivo,Manual"
"Test","[CT-ESTOQUE-001] Cadastrar novo produto (happy path)","h3. Informações do Teste
* *ID:* CT-ESTOQUE-001
* *Módulo:* Estoque
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Acessar o módulo **Estoque**
2. Clicar em **Novo Produto**
3. Preencher todos os campos com os dados acima
4. Clicar em **Salvar**

h3. Resultado Esperado:
- Produto cadastrado com sucesso
- Produto aparece na lista do estoque com os dados corretos","High","Estoque","QA,Regressivo,Manual"
"Test","[CT-ESTOQUE-002] Tentativa de cadastrar produto com nome duplicado","h3. Informações do Teste
* *ID:* CT-ESTOQUE-002
* *Módulo:* Estoque
* *Pré-condição:* Produto ""Capacitor 100uF 25V"" já cadastrado

h3. Passos para Reprodução:
1. Tentar cadastrar um segundo produto com o mesmo nome: `Capacitor 100uF 25V`

h3. Resultado Esperado:
- Sistema bloqueia o cadastro
- Mensagem de erro: *""Já existe um produto cadastrado com o nome semelhante/idêntico""*","High","Estoque","QA,Regressivo,Manual"
"Test","[CT-ESTOQUE-003] Produto sem nome não pode ser salvo","h3. Informações do Teste
* *ID:* CT-ESTOQUE-003
* *Módulo:* Estoque
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Abrir formulário de novo produto
2. Deixar o campo **Nome** em branco
3. Preencher os demais campos
4. Clicar em **Salvar**

h3. Resultado Esperado:
- Produto **não é salvo**
- Mensagem de validação exibida para o campo Nome","High","Estoque","QA,Regressivo,Manual"
"Test","[CT-CLIENTE-001] Cadastrar novo cliente (happy path)","h3. Informações do Teste
* *ID:* CT-CLIENTE-001
* *Módulo:* Clientes
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Acessar o módulo **Clientes**
2. Clicar em **Novo Cliente**
3. Preencher os dados acima
4. Clicar em **Salvar**

h3. Resultado Esperado:
- Cliente cadastrado e exibido na lista","Medium","Clientes","QA,Regressivo,Manual"
"Test","[CT-CLIENTE-002] Buscar cliente pelo nome","h3. Informações do Teste
* *ID:* CT-CLIENTE-002
* *Módulo:* Clientes
* *Pré-condição:* Clientes cadastrados

h3. Passos para Reprodução:
1. Na tela de Clientes, digitar `João` na barra de busca

h3. Resultado Esperado:
- Lista filtrada mostra apenas clientes com ""João"" no nome
- Busca insensível a maiúsculas/minúsculas","Medium","Clientes","QA,Regressivo,Manual"
"Test","[CT-OS-001] Criar nova Ordem de Serviço (happy path)","h3. Informações do Teste
* *ID:* CT-OS-001
* *Módulo:* Ordens de Serviço
* *Pré-condição:* Cliente e técnico cadastrados

h3. Passos para Reprodução:
1. Acessar **Ordens de Serviço**
2. Clicar em **Nova OS**
3. Preencher os campos com os dados acima
4. Clicar em **Salvar**

h3. Resultado Esperado:
- OS criada com número gerado automaticamente
- OS aparece na lista com status ""Aberta""","High","Ordens de Serviço","QA,Regressivo,Manual"
"Test","[CT-OS-002] Alterar status de OS de ""Aberta"" para ""Concluída""","h3. Informações do Teste
* *ID:* CT-OS-002
* *Módulo:* Ordens de Serviço
* *Pré-condição:* OS com status ""Aberta"" cadastrada

h3. Passos para Reprodução:
1. Localizar uma OS com status ""Aberta""
2. Clicar em **Editar**
3. Alterar o status para `Concluída`
4. Clicar em **Salvar**

h3. Resultado Esperado:
- OS atualizada com status ""Concluída""
- Badge de status muda visualmente na lista","High","Ordens de Serviço","QA,Regressivo,Manual"
"Test","[CT-UI-001] Responsividade em tela mobile","h3. Informações do Teste
* *ID:* CT-UI-001
* *Módulo:* Interface e Usabilidade
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Abrir o DevTools do Chrome (`F12`)
2. Ativar o modo responsivo (ícone de celular)
3. Selecionar o dispositivo `iPhone SE` (375×667)
4. Navegar por todos os módulos

h3. Resultado Esperado:
- Menus se adaptam para versão mobile
- Tabelas usam layout de cards em telas pequenas
- Nenhum elemento ultrapassa os limites da tela","Medium","Interface e Usabilidade","QA,Regressivo,Manual"
"Test","[CT-UI-002] Alternância entre tema claro e escuro","h3. Informações do Teste
* *ID:* CT-UI-002
* *Módulo:* Interface e Usabilidade
* *Pré-condição:* Nenhuma

h3. Passos para Reprodução:
1. Localizar o botão de alternância de tema
2. Clicar para ativar o **tema escuro**
3. Navegar por pelo menos 3 módulos diferentes
4. Retornar ao **tema claro**

h3. Resultado Esperado:
- Tema muda sem necessidade de recarregar a página
- Todos os textos permanecem legíveis nos dois temas
- Preferência é mantida ao navegar entre módulos","Low","Interface e Usabilidade","QA,Regressivo,Manual"
